country,team_size
Afghanistan,6
Albania,8
Algeria,46
American Samoa,2
Andorra,2
Angola,24
Antigua and Barbuda,5
Argentina,136
Armenia,15
Aruba,6
Australia,460
Austria,80
Azerbaijan,47
Bahamas,20
Bahrain,15
Bangladesh,5
Barbados,4
Belgium,166
Belize,1
Benin,5
Bermuda,8
Bhutan,3
Bolivia,4
Bosnia and Herzegovina,5
Botswana,14
Brazil,276
British Virgin Islands,4
Brunei Darussalam,3
Bulgaria,46
Burkina Faso,8
Burundi ,7
Cambodia,3
Cameroon,6
Canada,316
Cabo Verde,7
Cayman Islands,4
Central African Republic,4
Chad,3
Chile,48
China,395
Chinese Taipei ,60
Colombia,88
Comoros,4
Congo,4
Cook Islands,2
Costa-Rica,6
Cote D'ivoire,13
Croatia,73
Cuba,61
Cyprus,15
Czechia,113
Democratic Republic of the Congo,6
Denmark,124
Djibouti,7
Dominica,4
Dominican Republic ,58
Ecuador,40
Egypt,147
El Salvador,8
Equatorial Guinea,3
Eritrea,14
Estonia,24
Eswatini,3
Ethiopia,38
Federated States of Micronesia,3
Fiji,33
Finland,57
France,571
Gabon,5
Gambia,7
Georgia,28
Germany,428
Ghana,9
Great Britain,327
Greece,101
Grenada,6
Guam,8
Guatemala,16
Guinea,24
Guinea Bissau,6
Guyana,5
Haiti,7
Honduras,4
"Hong Kong, China",35
Hungary,170
Iceland,5
India,112
Individual Athletes Neutral,31
Indonesia,29
Iran,40
Iraq,22
Ireland,133
Israel,88
Italy,381
Jamaica,70
Japan,393
Jordan,12
Kazakhstan,79
Kenya,83
Kiribati,3
Kosovo,9
Kuwait,9
Kyrgyzstan,16
Laos,4
Latvia,29
Lebanon,10
Lesotho,3
Liberia ,8
Libya,6
Liechtenstein,1
Lithuania,50
Luxembourg,13
Madagascar,7
Malawi,3
Malaysia,26
Maldives,5
Mali,23
Malta,5
Marshall Islands,4
Mauritania,2
Mauritius,13
Mexico,107
Republic of Moldova,25
Monaco,6
Mongolia,32
Montenegro,19
Morocco,60
Mozambique,7
Myanmar,2
Namibia,4
Nauru,1
Nepal,7
Netherlands,258
New Zealand,195
Nicaragua,7
Niger,7
Nigeria,86
North Korea,16
North Macedonia,7
Norway,107
Oman,4
Pakistan,7
Palau,3
Palestine,8
Panama,8
Papua New Guinea,6
Paraguay,28
Peru,26
Philippines,22
Poland,213
Portugal,73
Puerto Rico,51
Qatar,14
Refugee Olympic Team,37
Romania,107
Rwanda,8
Saint Kitts and Nevis,3
Saint Vincent and the Grenadines,4
Saint Lucia,4
Samoa,24
San-Marino,5
Sao Tome and Principe,3
Saudi Arabia,9
Senegal,11
Serbia,112
Seychelles,3
SierraLeone,5
Singapore,23
Slovakia,28
Slovenia,90
Solomon Islands,2
Somalia,1
South Africa,139
Korea,141
South Sudan,14
Spain,382
Sri Lanka,6
Sudan,4
Suriname,5
Sweden,117
Switzerland,128
Syria,6
Tajikistan,14
Tanzania,7
Thailand,51
Timor East,4
Togo,5
Tonga,4
Trinidad and Tobago,17
Tunisia,27
Türkiye,100
Turkmenistan,6
Tuvalu,2
Uganda,25
Ukraine,140
United Arab Emirates,13
United States,592
United States Virgin Islands,5
Uruguay,25
Uzbekistan,86
Vanuatu,6
Venezuela,33
Vietnam,16
Yemen,4
Zambia,29
Zimbabwe,7
